Time|s,control_Room.Energy_Excess
0,2.5368539e+08
10,2.539544e+08
33.228497,2.5456576e+08
100,2.5612642e+08
180,2.5771776e+08
300,2.5920466e+08
358.64984,2.5935326e+08
360,2.5935125e+08, 2.5938342e+08
418.08374,2.5249738e+08
485.4471,2.3317835e+08
540,2.1557867e+08
600,2.0406885e+08
720,2.2064134e+08
900,2.188173e+08
971.92377,2.142576e+08
1000,2.1284515e+08
1080,2.0899293e+08
1260,1.9987872e+08
1440,1.9055611e+08
1620,1.8112642e+08
1800,1.7157546e+08
1948.3269,1.6362371e+08
1948.3289,1.6362362e+08
1948.3479,1.6362248e+08, 1.6362234e+08, 1.6362234e+08
1948.3645,1.636217e+08
1980,1.6191638e+08
2160,1.521899e+08
2322.0935,1.4339986e+08
2340,1.4242406e+08
2520,1.3269211e+08
2700,1.2293484e+08
2880,1.1326529e+08
3060,1.0354943e+08
3111.217,1.0077617e+08
3240,91527864
3420,7.822387e+07
3600,6.453255e+07
3632.1443,61262892
3780,55001188
3960,55454524
4140,55511644
4320,55555028
4500,55597064
4680,55639784
4860,5.568262e+07
5040,55724716
5220,5.576543e+07
5400,55805036
5580,55842716
5760,55878444
5940,55912384
6120,55943628
6300,5.597261e+07
6480,55999256
6660,56023504
6840,56045396
7020,5.606505e+07
7049.4,56068044
7200,56082196
7380,5.607456e+07
7560,5.606441e+07
7740,56051064
7920,56037564
8100,5.602142e+07
8280,56004996
8460,5.598635e+07
8640,5.596734e+07
8820,55947348
9000,55926356
9180,5.590452e+07
9360,5.588184e+07
9540,55858224
9720,5.583368e+07
9900,5.580824e+07
10080,55781904
10260,55754852
10440,55727116
10620,5.569861e+07
10800,55669324
10980,55637604
11160,55605144
11340,55571732
11520,55538276
11700,55503396
11880,5.546837e+07
12060,55433344
12240,55398316
12420,5.536227e+07
12600,5.532599e+07
12780,55289708
12960,55253428
13140,5.5216e+07
13320,55178116
13500,5.514023e+07
13680,55102348
13860,55064464
14040,5.502658e+07
14220,54988696
14400,54950812
14580,5.483626e+07
14760,5.472146e+07
14940,54606336
15120,54491196
15300,54375572
15480,5.42599e+07
15660,54144228
15840,5.402855e+07
16020,53912308
16200,53795924
16380,5.367954e+07
16560,5.356316e+07
16740,53446776
16920,53330396
17100,53214012
17140.814,53187624
17141.02,53187492
17141.033,53187484
17141.215,5.318732e+07, 5.318734e+07, 5.318734e+07
17280,53097668
17460,52981224
17470.59,5.297437e+07
17640,52864732
17820,52748148
18000,52631492
18180,5.218731e+07
18360,5.174305e+07
18540,51298676
18720,5.08543e+07
18900,50409764
19080,4.996521e+07
19260,49520652
19440,49076096
19620,4.863135e+07
19800,4.818656e+07
19980,4.774177e+07
20160,47296976
20340,46852184
20520,4.640739e+07
20700,4.59626e+07
20880,4.551781e+07
21060,45072964
21240,4.462809e+07
21420,4.418321e+07
21600,43738332
21780,42799284
21960,41864716
22140,4.093021e+07
22320,3.999572e+07
22500,39061212
22680,38126704
22860,37192176
23040,3.625764e+07
23220,3.53231e+07
23400,34388544
23580,33453982
23760,32519412
23940,31584832
24120,30650244
24300,29715644
24480,28781038
24660,27846422
24840,26911802
25020,25977172
25200,25042534
25380,24836882
25560,24653118
25740,24469834
25920,24286654
26100,24103514
26280,2.392039e+07
26460,2.373726e+07
26640,23554128
26820,23371008
27000,2.318789e+07
27180,23004768
27360,22821642
27540,22638522
27720,22455404
27900,22272282
28080,22089156
28260,2.190603e+07
28440,21722902
28620,21539774
28800,21356644
28980,22452836
29160,2.34918e+07
29340,24529472
29520,25566858
29700,26604134
29880,27641362
30060,28678538
30240,29715696
30420,30752832
30600,31789944
30780,32827036
30960,33864108
31140,34901156
31320,3.593818e+07
31500,36975188
31680,38012172
31860,3.904914e+07
32040,40086092
32220,41123024
32400,42159936
32580,42492396
32760,4.285575e+07
32940,4.321979e+07
33120,4.358398e+07
33300,43948228
33480,4.43125e+07
33660,44676772
33840,45041044
34020,45405348
34200,4.576966e+07
34380,46133972
34560,46498284
34740,46862596
34920,47226908
35100,4.759122e+07
35280,47955532
35460,48319852
35640,4.868418e+07
35820,49048504
36000,49412828
36180,50013812
36360,5.06148e+07
36540,5.121579e+07
36720,51816788
36900,52417788
37080,5.301879e+07
37260,5.361979e+07
37440,54220796
37620,5.482181e+07
37800,55422824
37980,56023836
38160,56624852
38340,57225864
38520,5.782688e+07
38700,58427896
38880,59028908
39060,59629924
39240,60230944
39420,60831964
39600,6.143298e+07
39780,6.166608e+07
39960,6.189918e+07
40140,62132284
40320,62365384
40500,6.259849e+07
40680,62831596
40860,6.30647e+07
41040,63297804
41220,6.353091e+07
41400,63764024
41580,63997132
41760,6.423024e+07
41940,6.446335e+07
42120,6.469646e+07
42300,6.492957e+07
42480,6.516268e+07
42660,65395788
42840,6.56289e+07
43020,6.586201e+07
43200,6.609512e+07
43380,6.42579e+07
43560,62465224
43740,60673548
43920,58882076
44100,57090716
44280,55299384
44460,5.350804e+07
44640,5.171669e+07
44820,4.992538e+07
45000,48134076
45180,4.634276e+07
45360,44551436
45540,4.276014e+07
45720,40968844
45900,39177536
46080,3.738622e+07
46260,35594904
46440,3.380359e+07
46620,32012272
46800,3.022095e+07
46980,30726526
47160,31169704
47340,3.161149e+07
47520,32052966
47700,32494296
47880,32935574
48060,3.337685e+07
48240,33818124
48420,34259336
48600,34700532
48780,35141724
48960,35582916
49140,3.602404e+07
49320,36465144
49500,36906244
49680,3.734734e+07
49860,37788436
50040,38229532
50220,38670624
50400,39111716
50580,40137812
50760,41155336
50940,42172644
51120,43189904
51300,44207116
51480,45224308
51660,4.62415e+07
51840,4.725869e+07
52020,48275844
52200,49292988
52380,50310132
52560,51327268
52740,5.234438e+07
52920,53361484
53100,5.437858e+07
53280,55395676
53460,5.641276e+07
53640,57429836
53820,58446904
54000,5.946396e+07
54180,59207972
54360,5.897854e+07
54540,5.87497e+07
54720,58520988
54900,58292336
55080,58063704
55260,57835076
55440,57606444
55620,57377852
55800,57149268
55980,56920684
56160,5.66921e+07
56340,56463516
56520,56234932
56700,56006348
56880,5.577777e+07
57060,5.554919e+07
57240,55320624
57420,55092056
57600,5.486349e+07
57780,54791748
57960,5.472001e+07
58140,5.464828e+07
58320,54576548
58500,54504828
58680,54433108
58860,5.436139e+07
59040,5.428967e+07
59220,54217964
59400,5.414626e+07
59580,54074556
59760,5.400285e+07
59940,53931144
60120,5.385944e+07
60300,53787736
60480,5.371603e+07
60660,5.364433e+07
60840,53572628
61020,53500932
61200,5.342923e+07
61380,53131228
61560,52833228
61740,52535228
61920,52237228
62100,51939236
62280,5.164124e+07
62460,51343244
62640,5.104525e+07
62820,5.074726e+07
63000,50449268
63180,5.015128e+07
63360,4.985329e+07
63540,49555296
63720,49257308
63900,48959316
64080,4.866133e+07
64260,4.836334e+07
64440,4.806535e+07
64620,47767364
64800,47469372
64980,46100964
65160,44794804
65340,43490024
65520,42185536
65700,40881144
65880,3.957678e+07
66060,3.827245e+07
66240,3.696811e+07
66420,35663776
66600,3.435944e+07
66780,33055104
66960,31750766
67140,30446428
67320,29142088
67500,27837746
67680,26533404
67860,25229056
68040,2.39247e+07
68220,2.262034e+07
68400,21315976
68427.56,2.117483e+07
68580,20855834
68760,20836322
68940,20818384
69120,20800046
69300,20781192
69480,20761126
69660,20739846
69840,2.071779e+07
70020,20694568
70200,2.067013e+07
70380,2.064474e+07
70560,2.061846e+07
70740,2.059096e+07
70920,20562246
71100,20532312
71280,2.050116e+07
71460,2.046879e+07
71640,20435236
71820,20400484
72000,20364514
72007.13,20463872
72180,2.172547e+07
72360,2.206524e+07
72540,22384134
72720,22698296
72900,23009868
73080,23319316
73260,23626022
73440,23930872
73620,2.423418e+07
73800,24535946
73980,24835206
74160,2.513279e+07
74340,25428834
74520,25723024
74700,26015054
74880,26305548
75060,26594504
75240,26881394
75420,27166614
75600,27450298
75780,27180746
75960,27463568
76140,27757094
76320,28052124
76500,28348202
76680,28644278
76860,28940386
77040,2.923688e+07
77220,2.953339e+07
77400,2.98299e+07
77580,30126622
77760,30423422
77940,30720224
78120,3.101706e+07
78300,31313992
78480,31610972
78660,31908004
78840,32205086
79020,3.250222e+07
79200,32799404
79380,33474968
79560,3.415172e+07
79740,3.482858e+07
79920,3.550545e+07
80100,3.618245e+07
80280,36859464
80460,37536476
80640,3.821349e+07
80820,38890656
81000,3.956786e+07
81180,40245064
81360,40922268
81540,41599468
81720,4.227667e+07
81900,42953876
82080,4.363108e+07
82260,44308324
82440,44985596
82620,45662868
82800,4.634014e+07
82980,4.664234e+07
83160,46944564
83340,47246816
83520,47549068
83700,4.785137e+07
83880,48153668
84060,48455972
84240,48758276
84420,49060628
84600,49362996
84780,49665364
84960,49967732
85140,5.02701e+07
85320,50572468
85500,50874836
85680,51177204
85860,51479584
86040,51781976
86220,5.208437e+07
86400,5.238676e+07
86580,5.238666e+07
86760,52386564
86940,52386484
87120,5.23864e+07
87300,52386332
87480,52386268
87660,52386204
87840,52386136
88020,5.238609e+07
88200,5.238605e+07
88380,52386004
88560,5.238596e+07
88740,52385916
88920,5.238587e+07
89100,5.238583e+07
89280,52385788
89460,52385748
89640,5.238571e+07
89820,5.238568e+07
90000,52385644
