Month,energy_imported_from_the_market,energy_exported_to_the_market,energy_to_community,energy_from_community
1,0.0,36084.30837499065,36163.88135213955,0.0
2,0.0,33920.278663607656,28275.131847087257,0.0
3,0.0,39631.363713491286,28566.78029785415,0.0
4,0.0,41368.14193859051,24649.181086840836,0.0
5,0.0,43326.33297126503,24900.41970065607,0.0
6,0.0,42113.40834879073,23439.20674366269,0.0
7,0.0,43440.84636475626,24795.541096626344,0.0
8,0.0,42761.642582012355,24642.7253771255,0.0
9,0.0,41769.86816831704,24578.283946840274,0.0
10,0.0,41269.77494521127,27327.903420845054,0.0
11,0.0,35944.19104541416,30921.62942200133,0.0
12,0.0,35601.223136185625,35930.24040138762,0.0
